OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
21135;A000429271;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
21136;A000429271;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
21137;A000429271;D866R;ZURICH INSURANCE EUROPE AG
21138;A000429271;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
21139;A000429271;X497R;ZURICH INSURANCE COMPANY LTD
21140;A000429277;A342S;UNISALUTE S.P.A.
21141;A000429277;A505S;UNIPOL ASSICURAZIONI S.P.A.
21142;A000430457;D947R;AIG EUROPE S.A.
21143;A000430460;D947R;AIG EUROPE S.A.
21144;A000430462;D947R;AIG EUROPE S.A.
21145;A000430463;D947R;AIG EUROPE S.A.
21146;A000430464;D947R;AIG EUROPE S.A.
21147;A000430465;D947R;AIG EUROPE S.A.
21148;A000430467;D947R;AIG EUROPE S.A.
21149;A000430468;D947R;AIG EUROPE S.A.
21150;A000430469;D947R;AIG EUROPE S.A.
21151;A000430470;D947R;AIG EUROPE S.A.
21152;A000430552;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
21153;A000430552;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21154;A000430552;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
21155;A000430552;A463S;ALLIANZ SOCIETA' PER AZIONI
21156;A000430552;D891R;AWP P&C S.A.
21157;A000430552;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
21158;A000430552;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
21159;A000430727;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21160;A000430727;A342S;UNISALUTE S.P.A.
21161;A000430727;A505S;UNIPOL ASSICURAZIONI S.P.A.
21162;A000430734;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
21163;A000430757;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
21164;A000430757;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
21165;A000430757;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
21166;A000430842;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
21167;A000430842;D856R;CREDENDO ¿ GUARANTEES & SPECIALITY RISKS
21168;A000430842;D952R;LLOYD'S INSURANCE COMPANY SA
21169;A000430864;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
21170;A000430864;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21171;A000430864;A294S;SARA VITA S.P.A.
21172;A000430864;A339S;CNP VITA ASSICURA S.P.A.
21173;A000430864;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
21174;A000430864;A463S;ALLIANZ SOCIETA' PER AZIONI
21175;A000430864;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
21176;A000430908;A044S;GENERALI ITALIA S.P.A.
21177;A000430908;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21178;A000430908;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21179;A000430952;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
21180;A000430952;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21181;A000430952;A463S;ALLIANZ SOCIETA' PER AZIONI
21182;A000430952;D866R;ZURICH INSURANCE EUROPE AG
21183;A000430952;D891R;AWP P&C S.A.
21184;A000430952;X497R;ZURICH INSURANCE COMPANY LTD
21185;A000431035;A342S;UNISALUTE S.P.A.
21186;A000431035;A505S;UNIPOL ASSICURAZIONI S.P.A.
21187;A000431167;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
21188;A000431167;A339S;CNP VITA ASSICURA S.P.A.
21189;A000431167;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21190;A000431167;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
21191;A000431167;A463S;ALLIANZ SOCIETA' PER AZIONI
21192;A000431167;A484S;TUTELA LEGALE S.P.A.
