OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
1;A000000019;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
2;A000000028;A044S;GENERALI ITALIA S.P.A.
3;A000000028;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4;A000000030;A077S;ZURICH INVESTMENTS LIFE S.P.A.
5;A000000030;D866R;ZURICH INSURANCE EUROPE AG
6;A000000030;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
7;A000000030;X497R;ZURICH INSURANCE COMPANY LTD
8;A000000117;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
9;A000000117;A484S;TUTELA LEGALE S.P.A.
10;A000000143;A390S;EUROP ASSISTANCE ITALIA S.P.A.
11;A000000143;A398S;IMA ITALIA ASSISTANCE S.P.A.
12;A000000143;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
13;A000000143;C399R;INTER PARTNER ASSISTANCE SA
14;A000000143;D891R;AWP P&C S.A.
15;A000000156;A135S;VITTORIA ASSICURAZIONI S.P.A.
16;A000000169;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
17;A000000175;A055X;HDI ASSICURAZIONI S.P.A.
18;A000000175;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
19;A000000175;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
20;A000000175;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
21;A000000191;A044S;GENERALI ITALIA S.P.A.
22;A000000193;A055X;HDI ASSICURAZIONI S.P.A.
23;A000000193;A213S;ATHORA ITALIA S.P.A.
24;A000000239;A342S;UNISALUTE S.P.A.
25;A000000239;A505S;UNIPOL ASSICURAZIONI S.P.A.
26;A000000254;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
27;A000000254;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
28;A000000276;A342S;UNISALUTE S.P.A.
29;A000000276;A505S;UNIPOL ASSICURAZIONI S.P.A.
30;A000000285;A342S;UNISALUTE S.P.A.
31;A000000285;A505S;UNIPOL ASSICURAZIONI S.P.A.
32;A000000302;A342S;UNISALUTE S.P.A.
33;A000000302;A505S;UNIPOL ASSICURAZIONI S.P.A.
34;A000000304;A342S;UNISALUTE S.P.A.
35;A000000304;A505S;UNIPOL ASSICURAZIONI S.P.A.
36;A000000311;A342S;UNISALUTE S.P.A.
37;A000000311;A505S;UNIPOL ASSICURAZIONI S.P.A.
38;A000000340;A342S;UNISALUTE S.P.A.
39;A000000340;A505S;UNIPOL ASSICURAZIONI S.P.A.
40;A000000367;A342S;UNISALUTE S.P.A.
41;A000000407;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
42;A000000422;A342S;UNISALUTE S.P.A.
43;A000000422;A505S;UNIPOL ASSICURAZIONI S.P.A.
44;A000000429;A342S;UNISALUTE S.P.A.
45;A000000429;A505S;UNIPOL ASSICURAZIONI S.P.A.
46;A000000460;A135S;VITTORIA ASSICURAZIONI S.P.A.
47;A000000498;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
48;A000000522;A342S;UNISALUTE S.P.A.
49;A000000522;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
50;A000000522;A505S;UNIPOL ASSICURAZIONI S.P.A.
51;A000000522;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
52;A000000546;D866R;ZURICH INSURANCE EUROPE AG
53;A000000573;A342S;UNISALUTE S.P.A.
54;A000000573;A505S;UNIPOL ASSICURAZIONI S.P.A.
55;A000000603;A342S;UNISALUTE S.P.A.
56;A000000603;A505S;UNIPOL ASSICURAZIONI S.P.A.
57;A000000614;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
58;A000000614;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
59;A000000614;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
60;A000000614;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
61;A000000614;A390S;EUROP ASSISTANCE ITALIA S.P.A.
62;A000000617;A342S;UNISALUTE S.P.A.
63;A000000617;A505S;UNIPOL ASSICURAZIONI S.P.A.
64;A000000673;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
65;A000000673;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
66;A000000673;A342S;UNISALUTE S.P.A.
67;A000000673;A505S;UNIPOL ASSICURAZIONI S.P.A.
68;A000000673;X460R;SCHWEIZERISCHE HAGEL-VERSICHERUNGS-GESELLSHAFT - SOCIETA' SVIZZERA DI
69;A000000705;A044S;GENERALI ITALIA S.P.A.
70;A000000705;A390S;EUROP ASSISTANCE ITALIA S.P.A.
71;A000000716;A463S;ALLIANZ SOCIETA' PER AZIONI
72;A000000716;A484S;TUTELA LEGALE S.P.A.
73;A000000716;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
74;A000000716;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
75;A000000716;D878R;ALLIANZ GLOBAL LIFE DAC
76;A000000716;D891R;AWP P&C S.A.
77;A000000716;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
78;A000000718;A044S;GENERALI ITALIA S.P.A.
79;A000000718;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
80;A000000718;A390S;EUROP ASSISTANCE ITALIA S.P.A.
81;A000000737;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
82;A000000737;A294S;SARA VITA S.P.A.
83;A000000773;A055X;HDI ASSICURAZIONI S.P.A.
84;A000000806;A390S;EUROP ASSISTANCE ITALIA S.P.A.
85;A000000806;A463S;ALLIANZ SOCIETA' PER AZIONI
86;A000000828;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
87;A000000831;D969R;ADRIATIC OSIGURANJE D.D.
88;A000000847;A044S;GENERALI ITALIA S.P.A.
89;A000000866;A135S;VITTORIA ASSICURAZIONI S.P.A.
90;A000000870;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
91;A000000870;A463S;ALLIANZ SOCIETA' PER AZIONI
92;A000000870;A505S;UNIPOL ASSICURAZIONI S.P.A.
93;A000000870;D878R;ALLIANZ GLOBAL LIFE DAC
94;A000000870;D891R;AWP P&C S.A.
95;A000000873;A055X;HDI ASSICURAZIONI S.P.A.
96;A000000875;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
97;A000000875;A463S;ALLIANZ SOCIETA' PER AZIONI
98;A000000875;D891R;AWP P&C S.A.
99;A000000881;A037S;AXA ASSICURAZIONI S.P.A.
100;A000000881;C399R;INTER PARTNER ASSISTANCE SA
101;A000000881;D870R;AXA LIFE EUROPE DAC
102;A000000881;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
103;A000000881;D962R;XL INSURANCE COMPANY SE
104;A000000895;A463S;ALLIANZ SOCIETA' PER AZIONI
105;A000000895;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
106;A000000895;D878R;ALLIANZ GLOBAL LIFE DAC
107;A000000895;D891R;AWP P&C S.A.
108;A000000895;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
109;A000000905;A342S;UNISALUTE S.P.A.
110;A000000905;A505S;UNIPOL ASSICURAZIONI S.P.A.
111;A000000942;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
112;A000000942;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
113;A000000942;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
114;A000000942;D866R;ZURICH INSURANCE EUROPE AG
115;A000000942;X497R;ZURICH INSURANCE COMPANY LTD
116;A000000949;A463S;ALLIANZ SOCIETA' PER AZIONI
117;A000000949;D878R;ALLIANZ GLOBAL LIFE DAC
118;A000000949;D891R;AWP P&C S.A.
119;A000000949;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
120;A000000961;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
121;A000000997;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
122;A000000997;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
123;A000000997;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
124;A000000997;A463S;ALLIANZ SOCIETA' PER AZIONI
125;A000000997;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
126;A000001007;A463S;ALLIANZ SOCIETA' PER AZIONI
127;A000001007;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
128;A000001007;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
129;A000001019;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
130;A000001029;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
131;A000001029;A294S;SARA VITA S.P.A.
132;A000001123;A342S;UNISALUTE S.P.A.
133;A000001123;A505S;UNIPOL ASSICURAZIONI S.P.A.
134;A000001144;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
135;A000001166;A037S;AXA ASSICURAZIONI S.P.A.
136;A000001166;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
137;A000001166;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
138;A000001166;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
139;A000001166;A183S;ITAS VITA S.P.A.
140;A000001166;A339S;CNP VITA ASSICURA S.P.A.
141;A000001166;A390S;EUROP ASSISTANCE ITALIA S.P.A.
142;A000001166;A463S;ALLIANZ SOCIETA' PER AZIONI
143;A000001166;C399R;INTER PARTNER ASSISTANCE SA
144;A000001166;D870R;AXA LIFE EUROPE DAC
145;A000001166;D891R;AWP P&C S.A.
146;A000001166;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
147;A000001178;A342S;UNISALUTE S.P.A.
148;A000001178;A505S;UNIPOL ASSICURAZIONI S.P.A.
149;A000001183;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
150;A000001183;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
151;A000001183;A339S;CNP VITA ASSICURA S.P.A.
152;A000001183;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
153;A000001183;A463S;ALLIANZ SOCIETA' PER AZIONI
154;A000001183;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
155;A000001183;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
156;A000001193;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
157;A000001193;A463S;ALLIANZ SOCIETA' PER AZIONI
158;A000001193;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
159;A000001193;A505S;UNIPOL ASSICURAZIONI S.P.A.
160;A000001193;D878R;ALLIANZ GLOBAL LIFE DAC
161;A000001193;D891R;AWP P&C S.A.
162;A000001195;A463S;ALLIANZ SOCIETA' PER AZIONI
163;A000001195;D878R;ALLIANZ GLOBAL LIFE DAC
164;A000001195;D891R;AWP P&C S.A.
165;A000001198;A339S;CNP VITA ASSICURA S.P.A.
166;A000001198;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
167;A000001198;A463S;ALLIANZ SOCIETA' PER AZIONI
168;A000001198;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
169;A000001198;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
170;A000001251;A037S;AXA ASSICURAZIONI S.P.A.
171;A000001251;C399R;INTER PARTNER ASSISTANCE SA
172;A000001251;D870R;AXA LIFE EUROPE DAC
173;A000001265;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
174;A000001265;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
175;A000001273;A463S;ALLIANZ SOCIETA' PER AZIONI
176;A000001284;10400;MERKUR VERSICHERUNG AKTIENGESELLSCHAFT
177;A000001284;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
178;A000001284;A463S;ALLIANZ SOCIETA' PER AZIONI
179;A000001284;A484S;TUTELA LEGALE S.P.A.
180;A000001284;D857R;TIROLER VERSICHERUNG V.A.G
181;A000001284;D878R;ALLIANZ GLOBAL LIFE DAC
182;A000001284;D891R;AWP P&C S.A.
183;A000001311;A044S;GENERALI ITALIA S.P.A.
184;A000001311;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
185;A000001311;A390S;EUROP ASSISTANCE ITALIA S.P.A.
186;A000001314;A044S;GENERALI ITALIA S.P.A.
187;A000001314;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
188;A000001314;A390S;EUROP ASSISTANCE ITALIA S.P.A.
189;A000001331;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
190;A000001331;A463S;ALLIANZ SOCIETA' PER AZIONI
191;A000001334;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
192;A000001354;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
193;A000001383;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
194;A000001397;A044S;GENERALI ITALIA S.P.A.
195;A000001397;A113C;GENERTEL S.P.A.
196;A000001397;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
197;A000001397;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
198;A000001454;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
199;A000001454;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
200;A000001454;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
201;A000001454;A390S;EUROP ASSISTANCE ITALIA S.P.A.
202;A000001472;A390S;EUROP ASSISTANCE ITALIA S.P.A.
203;A000001478;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
204;A000001478;A294S;SARA VITA S.P.A.
205;A000001519;A055X;HDI ASSICURAZIONI S.P.A.
206;A000001519;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
207;A000001519;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
208;A000001519;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
209;A000001519;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
210;A000001520;A342S;UNISALUTE S.P.A.
211;A000001520;A505S;UNIPOL ASSICURAZIONI S.P.A.
212;A000001524;A044S;GENERALI ITALIA S.P.A.
213;A000001524;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
214;A000001554;A342S;UNISALUTE S.P.A.
215;A000001554;A505S;UNIPOL ASSICURAZIONI S.P.A.
216;A000001570;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
217;A000001570;A463S;ALLIANZ SOCIETA' PER AZIONI
218;A000001570;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
219;A000001570;D878R;ALLIANZ GLOBAL LIFE DAC
220;A000001570;D891R;AWP P&C S.A.
221;A000001608;A135S;VITTORIA ASSICURAZIONI S.P.A.
222;A000001609;A463S;ALLIANZ SOCIETA' PER AZIONI
223;A000001609;D878R;ALLIANZ GLOBAL LIFE DAC
224;A000001609;D891R;AWP P&C S.A.
225;A000001611;A463S;ALLIANZ SOCIETA' PER AZIONI
226;A000001611;A484S;TUTELA LEGALE S.P.A.
227;A000001611;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
228;A000001611;D891R;AWP P&C S.A.
229;A000001649;A463S;ALLIANZ SOCIETA' PER AZIONI
230;A000001649;D878R;ALLIANZ GLOBAL LIFE DAC
231;A000001649;D891R;AWP P&C S.A.
232;A000001669;A463S;ALLIANZ SOCIETA' PER AZIONI
233;A000001669;A484S;TUTELA LEGALE S.P.A.
234;A000001669;D878R;ALLIANZ GLOBAL LIFE DAC
235;A000001669;D891R;AWP P&C S.A.
236;A000001669;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
237;A000001692;A463S;ALLIANZ SOCIETA' PER AZIONI
238;A000001692;D878R;ALLIANZ GLOBAL LIFE DAC
239;A000001692;D891R;AWP P&C S.A.
240;A000001696;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
241;A000001696;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
242;A000001696;A390S;EUROP ASSISTANCE ITALIA S.P.A.
243;A000001696;A492S;S2C S.P.A. COMPAGNIA DI ASSICURAZIONI DI CREDITI E CAUZIONI
244;A000001708;A463S;ALLIANZ SOCIETA' PER AZIONI
245;A000001708;D878R;ALLIANZ GLOBAL LIFE DAC
246;A000001708;D891R;AWP P&C S.A.
247;A000001708;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
248;A000001728;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
249;A000001728;A463S;ALLIANZ SOCIETA' PER AZIONI
250;A000001728;D878R;ALLIANZ GLOBAL LIFE DAC
251;A000001728;D891R;AWP P&C S.A.
252;A000001728;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
253;A000001741;D878R;ALLIANZ GLOBAL LIFE DAC
254;A000001744;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
255;A000001744;A463S;ALLIANZ SOCIETA' PER AZIONI
256;A000001744;A472S;CF ASSICURAZIONI S.P.A. - COMPAGNIA DI ASSICURAZIONE PER IL CREDITO E LA FAMIGLIA
257;A000001744;D878R;ALLIANZ GLOBAL LIFE DAC
258;A000001744;D891R;AWP P&C S.A.
259;A000001744;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
260;A000001759;A463S;ALLIANZ SOCIETA' PER AZIONI
261;A000001759;D878R;ALLIANZ GLOBAL LIFE DAC
262;A000001759;D891R;AWP P&C S.A.
263;A000001759;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
264;A000001782;A463S;ALLIANZ SOCIETA' PER AZIONI
265;A000001782;D878R;ALLIANZ GLOBAL LIFE DAC
266;A000001782;D891R;AWP P&C S.A.
267;A000001789;A463S;ALLIANZ SOCIETA' PER AZIONI
268;A000001789;D878R;ALLIANZ GLOBAL LIFE DAC
269;A000001789;D891R;AWP P&C S.A.
270;A000001804;A055X;HDI ASSICURAZIONI S.P.A.
271;A000001810;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
272;A000001810;A463S;ALLIANZ SOCIETA' PER AZIONI
273;A000001810;D878R;ALLIANZ GLOBAL LIFE DAC
274;A000001810;D891R;AWP P&C S.A.
275;A000001810;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
276;A000001811;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
277;A000001811;A463S;ALLIANZ SOCIETA' PER AZIONI
278;A000001811;D878R;ALLIANZ GLOBAL LIFE DAC
279;A000001811;D891R;AWP P&C S.A.
280;A000001811;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
281;A000001818;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
282;A000001818;A463S;ALLIANZ SOCIETA' PER AZIONI
283;A000001842;A463S;ALLIANZ SOCIETA' PER AZIONI
284;A000001842;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
285;A000001842;D878R;ALLIANZ GLOBAL LIFE DAC
286;A000001842;D891R;AWP P&C S.A.
287;A000001849;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
288;A000001849;A463S;ALLIANZ SOCIETA' PER AZIONI
289;A000001849;D878R;ALLIANZ GLOBAL LIFE DAC
290;A000001849;D891R;AWP P&C S.A.
291;A000001851;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
292;A000001851;A463S;ALLIANZ SOCIETA' PER AZIONI
293;A000001851;D891R;AWP P&C S.A.
294;A000001854;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
295;A000001854;A463S;ALLIANZ SOCIETA' PER AZIONI
296;A000001854;D878R;ALLIANZ GLOBAL LIFE DAC
297;A000001854;D891R;AWP P&C S.A.
298;A000001854;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
299;A000001872;A077S;ZURICH INVESTMENTS LIFE S.P.A.
300;A000001872;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
301;A000001872;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
302;A000001872;D866R;ZURICH INSURANCE EUROPE AG
303;A000001872;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
304;A000001872;X497R;ZURICH INSURANCE COMPANY LTD
305;A000001887;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
306;A000001887;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
307;A000001888;A135S;VITTORIA ASSICURAZIONI S.P.A.
308;A000001888;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
309;A000001892;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
310;A000001892;A339S;CNP VITA ASSICURA S.P.A.
311;A000001892;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
312;A000001892;A463S;ALLIANZ SOCIETA' PER AZIONI
313;A000001892;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
314;A000001926;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
315;A000001926;A294S;SARA VITA S.P.A.
316;A000001940;A342S;UNISALUTE S.P.A.
317;A000001940;A505S;UNIPOL ASSICURAZIONI S.P.A.
318;A000001979;A342S;UNISALUTE S.P.A.
319;A000001979;A505S;UNIPOL ASSICURAZIONI S.P.A.
320;A000001987;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
321;A000001988;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
322;A000002003;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
323;A000002003;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
324;A000002003;A390S;EUROP ASSISTANCE ITALIA S.P.A.
325;A000002003;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
326;A000002013;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
327;A000002013;A463S;ALLIANZ SOCIETA' PER AZIONI
328;A000002013;A505S;UNIPOL ASSICURAZIONI S.P.A.
329;A000002013;D891R;AWP P&C S.A.
330;A000002041;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
331;A000002041;A294S;SARA VITA S.P.A.
332;A000002044;A342S;UNISALUTE S.P.A.
333;A000002044;A505S;UNIPOL ASSICURAZIONI S.P.A.
334;A000002046;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
335;A000002046;A294S;SARA VITA S.P.A.
336;A000002052;A463S;ALLIANZ SOCIETA' PER AZIONI
337;A000002052;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
338;A000002052;D878R;ALLIANZ GLOBAL LIFE DAC
339;A000002052;D891R;AWP P&C S.A.
340;A000002052;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
341;A000002056;A342S;UNISALUTE S.P.A.
342;A000002056;A505S;UNIPOL ASSICURAZIONI S.P.A.
343;A000002069;A055X;HDI ASSICURAZIONI S.P.A.
344;A000002069;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
345;A000002094;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
346;A000002094;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
347;A000002102;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
348;A000002102;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
349;A000002102;A463S;ALLIANZ SOCIETA' PER AZIONI
350;A000002102;D891R;AWP P&C S.A.
351;A000002143;A339S;CNP VITA ASSICURA S.P.A.
352;A000002143;A463S;ALLIANZ SOCIETA' PER AZIONI
353;A000002143;A505S;UNIPOL ASSICURAZIONI S.P.A.
354;A000002143;D891R;AWP P&C S.A.
355;A000002143;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
356;A000002154;A342S;UNISALUTE S.P.A.
357;A000002154;A505S;UNIPOL ASSICURAZIONI S.P.A.
358;A000002162;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
359;A000002162;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
360;A000002194;A463S;ALLIANZ SOCIETA' PER AZIONI
361;A000002194;D878R;ALLIANZ GLOBAL LIFE DAC
362;A000002194;D891R;AWP P&C S.A.
363;A000002218;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
364;A000002218;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
365;A000002223;A077S;ZURICH INVESTMENTS LIFE S.P.A.
366;A000002223;D866R;ZURICH INSURANCE EUROPE AG
367;A000002223;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
368;A000002223;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
369;A000002223;X497R;ZURICH INSURANCE COMPANY LTD
370;A000002227;A135S;VITTORIA ASSICURAZIONI S.P.A.
371;A000002227;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
372;A000002239;A044S;GENERALI ITALIA S.P.A.
373;A000002239;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
374;A000002239;A390S;EUROP ASSISTANCE ITALIA S.P.A.
