Nr.;Nr. ordine;Nr. cliente;Ragione Sociale;Cod. valuta;Data scadenza;Importo;Importo IVA inclusa;Importo residuo;Spedire a - Codice;Spedire a - CAP;Data di registrazione;Cod. agente;Cdc Codice;Cod. colleg. dimen. 2;Cod. ubicazione;Copie stampate;Cod. condizioni pagam.;Chiuso;Annullato;Rettifica;E-mail inviata;Data/ora invio mail;Fatturare a - Indirizzo;Fatturare a - Città;Provincia di fatturazione;Spedire a - Indirizzo;Spedire a - Città;Cod. metodo di pagamento;Cat. reg. cliente;Fattore valuta;Partita IVA;C/C bancario;Importo residuo documento;Tipo di documento Fattura;Nota di Credito Collegata;Flg In Commessa;Nr. fornitore;Descrizione Fornitore;Fattura Acquisto Origine;Inviato allo SDI
FVI25-00163;;C00027;Fucino Finance S.P.A.;;;4.726,40;4.726,40;0,00;;00186;14/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00162;;C00001;IBL Banca S.P.A.;;;19.137,60;19.137,60;0,00;;00187;10/07/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00161;;C00027;Fucino Finance S.P.A.;;;13.890,20;13.890,20;0,00;;00186;07/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00160;;C00004;Banca di Sconto S.p.A.;;;1.213,20;1.213,20;0,00;;00187;03/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00159;;C00020;COMPASS Banca S.p.A.;;;111,38;111,38;111,38;;20153;03/07/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Caldera, 21;MILANO;MI;Via Caldera, 21;MILANO;;CLI_IT;0,;10536040966;;111,38;TD01;FALSO;FALSO;;;;FALSO
FVI25-00158;;C00037;CONFESERFIDI SOC.CONS. a.r.l;;;863,50;863,50;863,50;;97018;03/07/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via del Lillà nr. 22;SCICLI;RG;Via del Lillà nr. 22;SCICLI;;CLI_IT;0,;01188660888;;863,50;TD01;FALSO;FALSO;;;;FALSO
FVI25-00157;;C00027;Fucino Finance S.P.A.;;;1.382,00;1.382,00;0,00;;00186;03/07/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00156;;C00001;IBL Banca S.P.A.;;;10.058,40;10.058,40;0,00;;00187;03/07/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00155;;C00001;IBL Banca S.P.A.;;;5.113,80;5.113,80;0,00;;00187;03/07/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00154;;C00001;IBL Banca S.P.A.;;;4.686,00;4.686,00;0,00;;00187;30/06/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00153;;C00079;BONADIE TOMMASO;;;2.680,00;2.680,00;0,00;;76123;30/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;; VIA GIOACCHINO TOMA 12;ANDRIA;BT; VIA GIOACCHINO TOMA 12;ANDRIA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00152;;C00078;COLLACCHI LUIGI;;;1.120,00;1.120,00;1.120,00;;00034;30/06/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA CIMABUE NR.9;COLLEFERRO;RM;VIA CIMABUE NR.9;COLLEFERRO;;CLI_IT;0,;;;1.120,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00151;;C00077;GIORDANO NICOLA;;;3.062,00;3.062,00;3.062,00;;76123;30/06/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA ARTURO TOSCANINI NR.45;ANDRIA;BT;VIA ARTURO TOSCANINI NR.45;ANDRIA;;CLI_IT;0,;;;3.062,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00150;;C00076;MICCOLI LEONARDANTONIO;;;2.400,00;2.400,00;2.400,00;;76015;30/06/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA ALDO BOZZI;TRINITAPOLI;FG;VIA ALDO BOZZI;TRINITAPOLI;;CLI_IT;0,;;;2.400,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00149;;C00074;PALMIERI FEDERICO;;;3.600,00;3.600,00;3.600,00;;71047;30/06/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA SALVATOR ROSA 4;STORNARA;FG;VIA SALVATOR ROSA 4;STORNARA;;CLI_IT;0,;;;3.600,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00148;;C00073;SCAPPATICCI ANDREA;;;400,00;400,00;400,00;;03030;30/06/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA VALLEFALCA;SANTOPADRE;FR;VIA VALLEFALCA;SANTOPADRE;;CLI_IT;0,;;;400,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00147;;C00072;SILVESTRE PASQUALE;;;1.401,31;1.401,31;1.401,31;;74120;30/06/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA GARGIULO 53;TARANTO;TA;VIA GARGIULO 53;TARANTO;;CLI_IT;0,;;;1.401,31;TD01;FALSO;FALSO;;;;FALSO
FVI25-00146;;C00071;TODARO MATTIA;;;760,00;760,00;760,00;;15040;30/06/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA DON E RABAGLIATI 1;OCCIMIANO;AL;VIA DON E RABAGLIATI 1;OCCIMIANO;;CLI_IT;0,;;;760,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00145;;C00070;CATELLO VILLANI;;;2.880,00;2.880,00;0,00;;80051;30/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;; VIA VILLANI 22;AGEROLA;NA; VIA VILLANI 22;AGEROLA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00144;;C00069;CILLI ALESSANDRO IGNAZIO;;;4.200,00;4.200,00;4.200,00;;76121;26/06/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA ANTONIO VIOLANTE 12;BARLETTA;BA;VIA ANTONIO VIOLANTE 12;BARLETTA;;CLI_IT;0,;;;4.200,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00143;;C00001;IBL Banca S.P.A.;;;3.627,48;3.627,48;0,00;;00187;23/06/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00142;;C00001;IBL Banca S.P.A.;;;6.121,92;6.121,92;0,00;;00187;18/06/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00141;;C00019;Agos Ducato S.p.A.;;;962,40;962,40;0,00;;20126;11/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Fulvio Testi, 280;MILANO;MI;Viale Fulvio Testi, 280;MILANO;;CLI_IT;0,;08570720154;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00140;;C00004;Banca di Sconto S.p.A.;;;2.426,40;2.426,40;0,00;;00187;09/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00139;;C00001;IBL Banca S.P.A.;;;15.868,44;15.868,44;0,00;;00187;09/06/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00138;;C00027;Fucino Finance S.P.A.;;;5.925,80;5.925,80;0,00;;00186;09/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
